Managing DP,DP Project No,Project Title
United Nations Development Programme (UNDP),80033,Strengthening Capacity for Aid Effectiveness in Bangladesh
Netherlands (Netherlands),26397,Urban Dredging Project
Netherlands (Netherlands),90,Water Mgmt.Impr.Proj WB
Netherlands (Netherlands),12890,Market infrastructure development
Netherlands (Netherlands),18400,Popular Education support
Netherlands (Netherlands),13546,Integrated water management South West Bangladesh
Netherlands (Netherlands),18411,Educ. Research Training Advocacy
World Bank (WB),P103999,CHITTAGONG WATER SUPPLY IMPROVEMENT AND SANITATION PROJECT
Asian Development Bank (ADB),39432-013,Participatory Small-Scale Water Resources Sector Project
Asian Development Bank (ADB),34418-013,Southwest Area Integrated Water Resources Planning and Management
United Nations Development Programme (UNDP),74666,BANGLADESH NATIONAL HUMAN RIGHTS COMMISSION CAPACITY DEVELOPMENT PROJECT
United Nations Development Programme (UNDP),86516,Development of Sustainable Renewable Energy Power Generation (SREPGen)
United Nations Development Programme (UNDP),86756,Third National Communication to the UNFCCC
Asian Development Bank (ADB),40534-013,Second Crop Diversification Project
United Nations Development Programme (UNDP),74185,Barrier removal to the cost effective development and implementation of energy efficiency
United Nations Development Programme (UNDP),75326,Improving Kiln Efficiency in the Brick Making Industry
United Nations Development Programme (UNDP),62536,Community based adaptation to climate change through coastal afforestation in Bangladesh (CBA-CC)
United Nations Development Programme (UNDP),81908,Judicial Strengthening
United Nations Development Programme (UNDP),57761,Promoting Access to Justice and Human Rights in Bangladesh
United Nations Development Programme (UNDP),62931,Construction of Server Station
United Nations Development Programme (UNDP),78498,Strengthening Election Management in Bangladesh
United Nations Development Programme (UNDP),75824,Improving Democracy through Parliamentary Development in Bangladesh
United Nations Development Programme (UNDP),59635,Activating Village Courts in Bangladesh
United Nations Development Programme (UNDP),83546,Justice Sector Facility
United Nations Development Programme (UNDP),72355,Police Reform Programme II
United Nations Development Programme (UNDP),82240,Access to Information (A2I) Phase 2
United Nations Development Programme (UNDP),85313,Implementation of Digital Executive Committee of National Economic Council.
United Nations Development Programme (UNDP),90809,Strengthening Women’s Ability for Productive New Opportunities (SWAPNO)
United Nations Development Programme (UNDP)," 	 00058224",Urban Partnerships for Poverty Reduction (UPPR)
United Nations Development Programme (UNDP),90394,Social Protection Policy Support
United Nations Development Programme (UNDP),87044,Support to Sustainable and Inclusive Planning Project
United Nations Development Programme (UNDP),62091,Phase-out of CFC consumption in the Manufacture of Metered Dose Inhalers (MDIs) in Bangladesh
United Nations Development Programme (UNDP),77582,Early Recovery Facility
United Nations Development Programme (UNDP),73416,COMPREHENSIVE DISASTER MANAGEMENT PROGRAMME (CDMP) Phase II
United Nations Development Programme (UNDP),80696,Institutional Strengthening for the Phase-out of ODS VI
United Nations Development Programme (UNDP),81038,Conversion from HCFC - 141b to Cyclopetane Tech in the manufacture of insulation Foam in domestic refrigerators at Walton Hi-Tech Industries Ltd. Bangladesh
United Nations Development Programme (UNDP),80199,Upazila Governance Project
United Nations Development Programme (UNDP),80905,Union Parishad Governance Project
United Nations Development Programme (UNDP),11503,CHTDF Programme Support
Department for International Development (DFID),GB-1-201286,Strategic Partnership between BRAC; DFID and AusAID to support BRAC in delivering progress towards the MDGs in Bangladesh and to support its Institutional Development
Asian Development Bank (ADB),42171-013,Khulna Water Supply Project
Asian Development Bank (ADB),35242-013,Gas Transmission and Development Project
Asian Development Bank (ADB),39399-013,South Asia Tourism Infrastructure Development Project
Asian Development Bank (ADB),40054-013,SASEC Information Highway
Asian Development Bank (ADB),31309-013,Post Literacy and Continuing Education Project
Asian Development Bank (ADB),37113-013,POWER SYSTEM EFFICIENCY IMPROVEMENT PROJECT
Asian Development Bank (ADB),39298-013,City Region Development Project
Asian Development Bank (ADB),40517-013,PUBLIC-PRIVATE INFRASTRUCTURE DEVELOPMENT FACILITY
Asian Development Bank (ADB),32234-023,RAILWAY SECTOR INVESTMENT PROGRAM
Asian Development Bank (ADB),45084-002,Coastal Climate-Resilient Infrastructure Project
Asian Development Bank (ADB),44192-013,Bangladesh-India Elect. Grid Interconnection
Asian Development Bank (ADB),42378-015,MFF:POWER SYSTEM EXPNSION&EFFCNCY IMPRVMNT INVSTMNT PROG-TRANCHE1
Asian Development Bank (ADB),44192-014,SASEC BAN-IND ELECTRICAL GRID INTERCONNECTION PROJ-ADD FIN
Asian Development Bank (ADB),42378-016,MFF:POWER SYSTEM EXPANSION&EFFICIENCY IMPRVMNT INVSTMNT PROG-TR 2
Asian Development Bank (ADB),37017-013,GOOD GOVERNANCE PROGRAM
Asian Development Bank (ADB),39452-013,Strengthening Governance Management Project
Asian Development Bank (ADB),40540-014,South Asia Subregional Economic Coop Road Connectivity Project
Asian Development Bank (ADB),32234-053,MFF:RAILWAY SECTOR INVESTMENT PROGRAM-PROJECT 3
Asian Development Bank (ADB),46284-001,Pilot Project on Weather Index-Based Crop Insurance
Asian Development Bank (ADB),36297-013,SECONDARY TOWNS WATER SUPPLY AND SANITATION PROJECT
Asian Development Bank (ADB),36107-013,SUSTAINABLE POWER SECTOR DEVELOPMENT PROJECT
Asian Development Bank (ADB),45273-001,Financing Brick Kiln Efficiency Improvement Project
Asian Development Bank (ADB),39405-013,DHAKA WATER SUPPLY SECTOR DEVELOPMENT PROGRAM
Asian Development Bank (ADB),40448-013,SECOND TEACHING QUALITY IMPROVEMENT IN SECONDARY EDUC PROJECT
Asian Development Bank (ADB),40559-013,Second Urban Governance & Infrastructure Improvement Project
Asian Development Bank (ADB),36296-013,SECOND URBAN PRIMARY HEALTH CARE
Asian Development Bank (ADB),38164-013,NATURAL GAS ACCESS IMPROVEMENT PROJECT
Asian Development Bank (ADB),42177-013,URBAN PRIMARY HEALTH CARE SERVICES DELIVERY PROJECT
Asian Development Bank (ADB),32234-043,MFF-RAILWAY SECTOR INVESTMENT PROGRAM-TRANCHE 2
Asian Development Bank (ADB),42169-013,GREATER DHAKA SUSTAINABLE URBAN TRANSP0RT PROJECT
Asian Development Bank (ADB),44213-016,MFF:SECONDARY EDUCATION SECTOR INVESTMENT PROGRAM-TRANCH1
Asian Development Bank (ADB),42466-015,MFF:SKILLS FOR EMPLOYMENT INVESTMENT PROGRAM-TRANCHE 1
Asian Development Bank (ADB),42248-013,SECOND CHITTAGONG HILL TRACTS RURAL DEVELOPMENT PROJECT
Asian Development Bank (ADB),37307-013,SECONDARY EDUCATION SECTOR DEVELOPMENT PROJECT
Asian Development Bank (ADB),39408-013,SKILLS DEVELOPMENT PROJECT
Asian Development Bank (ADB),41671-022,Developing Inclusive Insurance Sector Project
Asian Development Bank (ADB),43477-013,Second Capital Market Development Program
Asian Development Bank (ADB),42149-012,INSTITUTIONAL SUPPORT FOR MIGRANT WORKERS' REMITTANCE
Asian Development Bank (ADB),44212-013,Coastal Towns Environmental Infrastructure Project
Asian Development Bank (ADB),40515-013,Sustainable Rural Infrastructure Improvement Project
Asian Development Bank (ADB),39305-013,Urban Public and Environmental Health Sector Development Project
Asian Development Bank (ADB),36200-013,SMALL & MEDIUM SIZED ENTERPRISE DEVELOPMENT PROJECT
Asian Development Bank (ADB),42180-013,Second PublicPrivate Infrastructure Development Facility
Asian Development Bank (ADB),44167-014,Flood and Riverbank Erosion Risk Management Investment Program
Asian Development Bank (ADB),45260-001,SOUTHASIA SUBREGIONAL ECONOMIC COOPERATION TRADE FACILITATION PRO
Asian Development Bank (ADB),44142-013,SUBREGIONAL TRANSPORT PROJECT PREPARATORY FACILITY
Asian Development Bank (ADB),45207-002,Irrigation Management Improvement Project
Asian Development Bank (ADB),42173-013,Dhaka Environmentally Sustainable Water Supply Project
Asian Development Bank (ADB),39295-013,THIRD URBAN GOVERNANCE & INFRASTRUCTURE IMPROVEMENT(SECTOR)PROJECT
Asian Development Bank (ADB),45174-001,Dhaka–Chittagong Expressway Public–Private Partnership Design Project
United States Agency for International Development (USAID),AID-388-TO-12-00001,Democracy and Governance Programs' Evaluation
Asian Development Bank (ADB),44212-023,COASTAL TOWNS INFRASTRUCTURE IMPROVEMENT PROJECT (PDA)
Asian Development Bank (ADB),26427-013,SECONDARY TOWNS INTEGRATED FLOOD PROTECTION PHASE 2
Asian Development Bank (ADB),40517-042,PUBLIC-PRIVATE INFRASTRUCTURE DEVELOPMENT FACILITY
Netherlands (Netherlands),18769,CSSED Server Stations
Netherlands (Netherlands),20387,Dialoge Trans-Boundary Water
Netherlands (Netherlands),21288,Strengthening Public Expenditure Management Programme
Netherlands (Netherlands),21315,Support Parliamentary reform
Netherlands (Netherlands),21338,Sexual Reproductive Health
Netherlands (Netherlands),21607,Char development
Netherlands (Netherlands),21765,Tech. Vocational training (TVET)
Netherlands (Netherlands),21881,Body rights young people
Netherlands (Netherlands),23167,Water Sanitation and health. WASH
Netherlands (Netherlands),23879,Business desk Nyenrode
Netherlands (Netherlands),24007,Integrated Water Management South West
Netherlands (Netherlands),24008,Water Sanitation and Health WASH
