iati_identifier,project_id_aims,title_aims,implementing_org,title_iati
DE-1-200135012,2001.3501.2,Study and Expert Fund,Gesellschaft für internationale Zusammenarbeit (GIZ) GmbH,Studies and Expert Fund
DE-1-200820720,2008.2072.0,Wetland Biodiversity Protection Project,Gesellschaft für internationale Zusammenarbeit (GIZ) GmbH,Wetland Biodiversity Protection Project
DE-1-200922054,2009.2205.4,Promotion of Social and Environmental Standards in the Industry,Gesellschaft für internationale Zusammenarbeit (GIZ) GmbH,Promotion of Social and Environmental Standards in the Industry
DE-1-200922401,2009.2240.1,Management of Natural Resources and Community Forestry,Gesellschaft für internationale Zusammenarbeit (GIZ) GmbH,Management of Natural Resources and Community Forestry
DE-1-201022201,2010.2220.1,Sustainable Development and Biodiversity Conservation in Coastal Protection Forests,Gesellschaft für internationale Zusammenarbeit (GIZ) GmbH,"Sustainable Development and Biodiversity Conservation in Coastal Protection
   Forests"
DE-1-201121672,2011.2167.2,Adressing Bangladesh's Demographic Challenges,Gesellschaft für internationale Zusammenarbeit (GIZ) GmbH,Addressing Bangladesh's Demographic Challenges ABDC
DE-1-201220979,2012.2097.9,Renewable Energy and Energy Efficiency Programme,Gesellschaft für internationale Zusammenarbeit (GIZ) GmbH,Renewable Energy and Energy Efficiency Programme
DE-1-201220987,NOT FOUND,NOT FOUND,Gesellschaft für internationale Zusammenarbeit (GIZ) GmbH,"Prison and Justice Reform for Promoting Human Right and Preventing
   Corruption"
DE-1-201220987-001,2012.2098.7-001,Improvement of the real Situation of overcrowding in Prision (IRSOP),NOT FOUND,NOT FOUND
DE-1-201220987-003,2012.2098.7-003,Justice Reform and Corruption Prevention (JRCP),NOT FOUND,NOT FOUND
DE-1-201222694,2012.2269.4,Good Governance in Urban Areas,Gesellschaft für internationale Zusammenarbeit (GIZ) GmbH,Good Governance in Urban Areas
DE-1-201322585,2013.2258.5,Forest in Bangladesh (Sunderbans II),Gesellschaft für internationale Zusammenarbeit (GIZ) GmbH,"Promotion of the Management of Sunderbans-Mangrove Forest in Bangladesh (Sunderbans
   II)"
DE-1-201421072,NOT FOUND,NOT FOUND,Gesellschaft für internationale Zusammenarbeit (GIZ) GmbH,Adaption to Climate Change into the National and Local Development Planning
DE-1-201421098,2014.2109.8,Support to Health Sector Programme,Gesellschaft für internationale Zusammenarbeit (GIZ) GmbH,Support to Health Sector Programme
DE-1-201421114,NOT FOUND,NOT FOUND,Gesellschaft für internationale Zusammenarbeit (GIZ) GmbH,Promotion of Social and Environmental Standards in the Industry
DE-1-201440551,2014.4055.1,Urban Management of internal Migration due to Climate Change,NOT FOUND,NOT FOUND
